# config=vm-tracked run=4 status=OK src=mmc
# t_sec_since_go	text
   0.1002	go 0x20000000
   0.1002	## Starting application at 0x20000000 ...
   0.2003	
   0.2003	ELF-loader started on CPU: ARM Ltd. Cortex-A55 r1p0
   0.2003	  paddr=[10728000..1376012f]
   0.2003	No DTB passed in from boot loader.
   0.2003	Looking for DTB in CPIO archive...found at 1082a5c0.
   0.2003	Loaded DTB from 1082a5c0.
   0.2003	   paddr=[242000..24dfff]
   0.2003	ELF-loading image 'kernel' to 0
   0.2003	  paddr=[0..241fff]
   0.2003	  vaddr=[8000000000..8000241fff]
   0.2003	  virt_entry=8000000000
   0.2003	ELF-loading image 'sel4test-driver' to 80000000
   0.2003	  paddr=[80000000..8ade5fff]
   0.2003	  vaddr=[400000..b1e5fff]
   0.2003	  virt_entry=45aa60
   0.6009	Enabling hypervisor MMU and paging
   0.6009	Jumping to kernel-image entry point...
   0.6009	
   0.6009	Bootstrapping kernel
   0.6009	available phys memory regions: 2
   0.6009	  [0..5000000]
   0.6009	  [5300000..f5800000]
   0.6009	reserved virt address space regions: 3
   0.6009	  [8000000000..8000242000]
   0.6009	  [8000242000..800024dbc7]
   0.6009	  [8080000000..808ade6000]
   0.6009	Booting all finished, dropped to user space
   1.0015	Node 0 of 1
   1.0015	IOPT levels:     0
   1.0015	IPC buffer:      0xb1e6000
   1.0015	Empty slots:     [44702 --> 131072)
   1.1016	sharedFrames:    [0 --> 0)
   1.1016	userImageFrames: [116 --> 44634)
   1.1016	userImagePaging: [16 --> 104)
   1.1016	untypeds:        [44634 --> 44702)
   1.1016	Initial thread domain: 0
   1.1016	Initial thread cnode size: 17
   1.1016	List of untypeds
   1.1016	------------------
   1.1016	Paddr    | Size |  SizeBits   | Device
   1.1016	0 | 16 | 64.0 KB | 0
   1.1016	0x24dbd0 | 4 | 16 bytes | 0
   1.1016	0x24dbe0 | 5 | 32 bytes | 0
   1.1016	0x24dc00 | 10 | 1.0 KB | 0
   1.1016	0x24e000 | 13 | 8.0 KB | 0
   1.1016	0x250000 | 16 | 64.0 KB | 0
   1.1016	0x260000 | 17 | 128.0 KB | 0
   1.1016	0x280000 | 19 | 512.0 KB | 0
   1.1016	0x300000 | 20 | 1.0 MB | 0
   1.1016	0x400000 | 22 | 4.0 MB | 0
   1.1016	0x800000 | 23 | 8.0 MB | 0
   1.1016	0x1000000 | 24 | 16.0 MB | 0
   1.1016	0x2000000 | 25 | 32.0 MB | 0
   1.1016	0x4000000 | 24 | 16.0 MB | 0
   1.1016	0x5300000 | 20 | 1.0 MB | 0
   1.1016	0x5400000 | 22 | 4.0 MB | 0
   1.1016	0x5800000 | 23 | 8.0 MB | 0
   1.1016	0x6000000 | 25 | 32.0 MB | 0
   1.1016	0x8000000 | 27 | 128.0 MB | 0
   1.1016	0x10000000 | 28 | 256.0 MB | 0
   1.1016	0x20000000 | 29 | 512.0 MB | 0
   1.1016	0x40000000 | 30 | 1.0 GB | 0
   1.1016	0x8ade6000 | 13 | 8.0 KB | 0
   1.1016	0x8ade8000 | 15 | 32.0 KB | 0
   1.1016	0x8adf0000 | 16 | 64.0 KB | 0
   1.1016	0x8ae00000 | 21 | 2.0 MB | 0
   1.1016	0x8b000000 | 24 | 16.0 MB | 0
   1.1016	0x8c000000 | 26 | 64.0 MB | 0
   1.1016	0x90000000 | 28 | 256.0 MB | 0
   1.1016	0xa0000000 | 29 | 512.0 MB | 0
   1.2018	0xc0000000 | 29 | 512.0 MB | 0
   1.2018	0xe0000000 | 28 | 256.0 MB | 0
   1.2018	0xf0000000 | 26 | 64.0 MB | 0
   1.2018	0xf4000000 | 24 | 16.0 MB | 0
   1.2018	0xf546d800 | 11 | 2.0 KB | 0
   1.2018	0xf546e000 | 13 | 8.0 KB | 0
   1.2018	0xf5470000 | 16 | 64.0 KB | 0
   1.2018	0xf5480000 | 19 | 512.0 KB | 0
   1.2018	0xf5500000 | 20 | 1.0 MB | 0
   1.2018	0xf5600000 | 21 | 2.0 MB | 0
   1.2018	1 untypeds of size 4
   1.2018	1 untypeds of size 5
   1.2018	1 untypeds of size 10
   1.2018	1 untypeds of size 11
   1.2018	3 untypeds of size 13
   1.2018	1 untypeds of size 15
   1.2018	4 untypeds of size 16
   1.2018	1 untypeds of size 17
   1.2018	2 untypeds of size 19
   1.2018	3 untypeds of size 20
   1.2018	2 untypeds of size 21
   1.2018	2 untypeds of size 22
   1.2018	2 untypeds of size 23
   1.2018	4 untypeds of size 24
   1.2018	2 untypeds of size 25
   1.2018	2 untypeds of size 26
   1.2018	1 untypeds of size 27
   1.2018	3 untypeds of size 28
   1.2018	3 untypeds of size 29
   1.2018	1 untypeds of size 30
   1.2018	Switching to a safer, bigger stack... 
   1.2018	
   1.2018	seL4 Test!!
   1.2019	=========
   1.2019	
   2.1044	vspace_reserve_range_at@vspace.h:742 vspace is NULL
   2.1044	create_reservations@elf.c:253 Failed to make reservation: 0x400000, 2293760
   2.2045	elf_reserve_regions_in_vspace@elf.c:452 Failed to create reservations
   2.2045	sel4utils_elf_reserve@elf.c:479 Failed to reserve regions
   2.2045	GPIServ Parent: Starting GPI server...
   2.2045	Starting test suite sel4test TT: 3 Count: 1
   2.2045	Starting test 0: Test that there are tests
   2.2045	Starting test 1: GPIVM004
   2.5051	Running test GPIVM004 (Test VMM that starts one Linux guest PD (osm))
   2.5051	------------------STARTING: test_linux_vm_osm------------------
   2.5051	virq_controller_init@virq.c:26 initialised virtual GICv2 driver
   3.4070	[37m[VMM] linux_copy_kernel_image():	[0mimages locations  vspace as returned by CPIO:
   3.5071		 kernel_image 0x811d40:0x155bf40, initrd: 0x155bfc0:0x161702e, dtb: 0x162057c:0x162c714 
   3.5071	[37m[VMM] linux_copy_kernel_image():	[0mcurrent vspace location:
   3.5071		 Linux guest ram: 0x20000000:0x0, initrd: 0x2d700000:0x2d7bb06e, dtb: 0x2d000000:0x2d00c198 
   3.5071	[37m[VMM] linux_setup_images():	[0mCopying guest kernel image to 0x20000000 (0xd4a200 bytes)
   3.5071	[37m[VMM] linux_setup_images():	[0mCopying guest DTB to 0x2d000000 (0xc198 bytes)
   3.5071	[37m[VMM] linux_setup_images():	[0mCopying guest initial RAM disk to 0x2d700000 (0xbb06e bytes)
   3.5071	vka_cspace_alloc@vka.h:149 Unimplemented
   3.5071	vka_alloc_object_at_maybe_dev@object.h:49 Failed to allocate cslot: error -1
   3.5071	Caught cap fault in send phase at address 0
   3.5071	while trying to handle:
   3.5071	cap fault in receive phase at address 0
   3.5071	in thread 0x8000008400 "sel4test-tests" at address 0x42affc
   3.5071	With stack:
   3.5071	0x10011920: 0x10011990
   3.5071	0x10011928: 0x10011998
   3.5071	0x10011930: 0x100119a0
   3.5071	0x10011938: 0x100119a8
   3.5071	0x10011940: 0x100119b8
   3.6075	0x10011948: 0x100119b0
   3.6075	0x10011950: 0x0
   3.6075	0x10011958: 0xfffffffffffffffb
   3.6075	0x10011960: 0x0
   3.6075	0x10011968: 0x10011a38
   3.6075	0x10011970: 0x100119c0
   3.6075	0x10011978: 0x42d33c
   3.6075	0x10011980: 0x0
   3.6075	0x10011988: 0x0
   3.6075	0x10011990: 0x2
   3.6075	0x10011998: 0x10011a38
   3.8079	[    0.000000] Booting Linux on physical CPU 0x0000000000 [0x411fd050]
   3.8079	[    0.000000] Linux version 6.1.0 (linh@lindt) (aarch64-none-elf-gcc (Arm GNU Toolchain 13.2.rel1 (Build arm-13.7)) 13.2.1 20231009, GNU ld (Arm GNU Toolchain 13.2.rel1 (Build arm-13.7)) 2.41.0.20231009) #1 SMP PREEMPT Thu Jul  4 13:15:57 PDT 2024
   3.8079	[    0.000000] Machine model: Hardkernel ODROID-C4
   3.8079	[    0.000000] efi: UEFI not found.
   3.9080	[    0.000000] OF: reserved mem: invalid alloc-ranges property in 'linux,cma', skipping node.
   3.9080	[    0.000000] NUMA: No NUMA configuration found
   3.9080	[    0.000000] NUMA: Faking a node at [mem 0x0000000020000000-0x000000002fffffff]
   3.9080	[    0.000000] NUMA: NODE_DATA [mem 0x2d61fa00-0x2d621fff]
   3.9080	[    0.000000] Zone ranges:
   3.9080	[    0.000000]   DMA      [mem 0x0000000020000000-0x000000002fffffff]
   3.9080	[    0.000000]   DMA32    empty
   3.9080	[    0.000000]   Normal   empty
   3.9080	[    0.000000] Movable zone start for each node
   3.9080	[    0.000000] Early memory node ranges
   3.9080	[    0.000000]   node   0: [mem 0x0000000020000000-0x000000002fffffff]
   3.9080	[    0.000000] Initmem setup node 0 [mem 0x0000000020000000-0x000000002fffffff]
   3.9080	[    0.000000] cma: Reserved 32 MiB at 0x000000002b000000
   3.9080	[    0.000000] psci: probing for conduit method from DT.
   3.9080	[    0.000000] psci: PSCIv1.2 detected in firmware.
   3.9080	[    0.000000] psci: Using standard PSCI v0.2 function IDs
   3.9080	[    0.000000] psci: Trusted OS migration not required
   3.9080	[    0.000000] psci: SMC Calling Convention v1.0
   4.0081	[    0.000000] percpu: Embedded 19 pages/cpu s40904 r8192 d28728 u77824
   4.0081	[    0.000000] pcpu-alloc: s40904 r8192 d28728 u77824 alloc=19*4096
   4.0081	[    0.000000] pcpu-alloc: [0] 0 [0] 1 [0] 2 [0] 3 
   4.0081	[    0.000000] Detected VIPT I-cache on CPU0
   4.0081	[    0.000000] CPU features: detected: Qualcomm erratum 1009, or ARM erratum 1286807, 2441009
   4.0081	[    0.000000] CPU features: detected: ARM errata 1165522, 1319367, or 1530923
   4.0081	[    0.000000] alternatives: applying boot alternatives
   4.0081	[    0.000000] Fallback order for Node 0: 0 
   4.0081	[    0.000000] Built 1 zonelists, mobility grouping on.  Total pages: 64512
   4.0081	[    0.000000] Policy zone: DMA
   4.0081	[    0.000000] Kernel command line: console=ttyAML0,115200n8 root=/dev/ram0 nosmp rw debug loglevel=8 pci=nomsi earlyprintk=serial maxcpus=1
   4.0081	[    0.000000] Unknown kernel command line parameters "pci=nomsi earlyprintk=serial", will be passed to user space.
   4.0081	[    0.000000] Dentry cache hash table entries: 32768 (order: 6, 262144 bytes, linear)
   4.1081	[    0.000000] Inode-cache hash table entries: 16384 (order: 5, 131072 bytes, linear)
   4.1081	[    0.000000] mem auto-init: stack:off, heap alloc:off, heap free:off
   4.1081	[    0.000000] Memory: 167520K/262144K available (8384K kernel code, 1000K rwdata, 2388K rodata, 1664K init, 462K bss, 61856K reserved, 32768K cma-reserved)
   4.1081	[    0.000000] SLUB: HWalign=64, Order=0-3, MinObjects=0, CPUs=4, Nodes=1
   4.1081	[    0.000000] rcu: Preemptible hierarchical RCU implementation.
   4.1081	[    0.000000] rcu: 	RCU event tracing is enabled.
   4.1081	[    0.000000] rcu: 	RCU restricting CPUs from NR_CPUS=256 to nr_cpu_ids=4.
   4.1081	[    0.000000] 	Trampoline variant of Tasks RCU enabled.
   4.1081	[    0.000000] 	Tracing variant of Tasks RCU enabled.
   4.1081	[    0.000000] rcu: RCU calculated value of scheduler-enlistment delay is 25 jiffies.
   4.1081	[    0.000000] rcu: Adjusting geometry for rcu_fanout_leaf=16, nr_cpu_ids=4
   4.1081	[    0.000000] NR_IRQS: 64, nr_irqs: 64, preallocated irqs: 0
   4.2082	[    0.000000] Root IRQ handler: gic_handle_irq
   4.2082	[    0.000000] rcu: srcu_init: Setting srcu_struct sizes based on contention.
   4.2082	[    0.000000] arch_timer: cp15 timer(s) running at 24.00MHz (virt).
   4.2082	[    0.000000] clocksource: arch_sys_counter: mask: 0xffffffffffffff max_cycles: 0x588fe9dc0, max_idle_ns: 440795202592 ns
   4.2082	[    0.000000] sched_clock: 56 bits at 24MHz, resolution 41ns, wraps every 4398046511097ns
   4.2082	[    0.000172] Console: colour dummy device 80x25
   4.2082	[    0.000238] Calibrating delay loop (skipped), value calculated using timer frequency.. 48.00 BogoMIPS (lpj=96000)
   4.2082	[    0.000250] pid_max: default: 32768 minimum: 301
   4.2082	[    0.000315] LSM: Security Framework initializing
   4.2082	[    0.000356] Mount-cache hash table entries: 512 (order: 0, 4096 bytes, linear)
   4.2082	[    0.000366] Mountpoint-cache hash table entries: 512 (order: 0, 4096 bytes, linear)
   4.2082	[    0.001887] cblist_init_generic: Setting adjustable number of callback queues.
   4.3083	[    0.001899] cblist_init_generic: Setting shift to 2 and lim to 1.
   4.3083	[    0.001980] cblist_init_generic: Setting shift to 2 and lim to 1.
   4.3083	[    0.002155] rcu: Hierarchical SRCU implementation.
   4.3083	[    0.002159] rcu: 	Max phase no-delay instances is 1000.
   4.3083	[    0.003546] EFI services will not be available.
   4.3083	[    0.003842] smp: Bringing up secondary CPUs ...
   4.3083	[    0.003848] smp: Brought up 1 node, 1 CPU
   4.3083	[    0.003916] SMP: Total of 1 processors activated.
   4.3083	[    0.003925] CPU features: detected: 32-bit EL0 Support
   4.3083	[    0.003928] CPU features: detected: 32-bit EL1 Support
   4.3083	[    0.003933] CPU features: detected: Data cache clean to the PoU not required for I/D coherence
   4.3083	[    0.003938] CPU features: detected: Common not Private translations
   4.3083	[    0.003941] CPU features: detected: CRC32 instructions
   4.3083	[    0.003948] CPU features: detected: RCpc load-acquire (LDAPR)
   4.3083	[    0.003951] CPU features: detected: LSE atomic instructions
   4.3083	[    0.003955] CPU features: detected: Privileged Access Never
   4.3083	[    0.003958] CPU features: detected: RAS Extension Support
   4.4084	[    0.004046] CPU: All CPU(s) started at EL1
   4.4084	[    0.004066] alternatives: applying system-wide alternatives
   4.4084	[    0.006454] devtmpfs: initialized
   4.4084	[    0.015454] clocksource: jiffies: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 7645041785100000 ns
   4.4084	[    0.015476] futex hash table entries: 1024 (order: 4, 65536 bytes, linear)
   4.4084	[    0.016633] DMI not present or invalid.
   4.4084	[    0.017399] DMA: preallocated 128 KiB GFP_KERNEL pool for atomic allocations
   4.4084	[    0.017471] DMA: preallocated 128 KiB GFP_KERNEL|GFP_DMA pool for atomic allocations
   4.4084	[    0.017552] DMA: preallocated 128 KiB GFP_KERNEL|GFP_DMA32 pool for atomic allocations
   4.4084	[    0.017909] thermal_sys: Registered thermal governor 'step_wise'
   4.4084	[    0.017915] thermal_sys: Registered thermal governor 'power_allocator'
   4.4084	[    0.017950] cpuidle: using governor menu
   4.4084	[    0.018046] hw-breakpoint: found 6 breakpoint and 4 watchpoint registers.
